source_group,n,accuracy,balanced_accuracy,macro_f1
sha256:f68b24c5e77c519eadd07912de69b2302a5b05c6ac2edbe7a534361b4670de35,1,1.0,1.0,1.0
sha256:f7d625a1c689331612a4f5c7730a6213ab1c27e495b8274732a7be5f7bc1299a,1,0.0,0.0,0.0
sha256:f92c963ceb446ea71afc2a149febdbe2f6ce5b30fb2760c09f7d16ba6aa35c4a,1,1.0,1.0,1.0
sha256:f97aaf6c0832440c4c81bc3ca75e90dd3b9f28a4bcfcb05dab7b5126a496c953,1,1.0,1.0,1.0
sha256:f997ebc2e91dae32287045361f115cbeb371e06958357a1028c8e1ceab0045e6,1,1.0,1.0,1.0
sha256:fb17d7f3ae80e0c63671c096f20c647232f4c1b17ba46f3cbfc8dffb0fb31a34,1,0.0,0.0,0.0
sha256:fc91fd8555c92d10106226c9a01e055849caf29642f630f7231afb9c50283c81,1,1.0,1.0,1.0
sha256:fcb3c0dc76372f9365cea43486f8982c74379783bdd5fe9d56457f1cc7554446,1,1.0,1.0,1.0
sha256:feec7d688139cc7936c28523743b645d009d746e3fa7d6d1bdc0af7bcfc3f68f,1,1.0,1.0,1.0
sha256:ff4e165900cdcfc024e4711fcf39eb6bcbc11a019f53ba0bffbcbb7ba2d39931,1,1.0,1.0,1.0
